# name ra dec filter exptime start_time_utc m3sigma 
S074305 03:22:09.490 -06:40:32.890 r 45 2023-05-05T05:11:33 20.56717063443836 
S068540 03:00:15.110 -10:37:54.610 r 45 2023-05-05T05:12:33 20.56717063443836 
S075753 03:23:52.060 -05:41:12.460 r 45 2023-05-05T05:14:18 20.56717063443836 
S083018 03:26:42.240 -00:44:30.310 r 45 2023-05-05T05:16:03 20.56717063443836 
S069976 03:07:31.310 -09:38:34.180 r 45 2023-05-05T05:17:03 20.56717063443836 
S063581 03:27:01.560 -14:05:36.120 r 45 2023-05-05T05:18:48 20.56717063443836 
S063582 03:29:03.940 -14:05:36.120 r 45 2023-05-05T05:21:33 20.56717063443836 
S077209 03:37:29.380 -04:41:52.030 r 45 2023-05-05T05:22:48 20.56717063443836 
S077930 03:29:15.410 -04:12:11.810 r 45 2023-05-05T05:24:18 20.56717063443836 
S075036 03:37:47.450 -06:10:52.670 r 45 2023-05-05T05:25:33 20.56717063443836 
S073589 03:34:24.280 -07:10:13.110 r 45 2023-05-05T05:27:03 20.56717063443836 
S081568 03:38:34.340 -01:43:50.740 r 45 2023-05-05T05:28:18 20.56717063443836 
S080842 03:40:51.180 -02:13:30.950 r 45 2023-05-05T05:28:18 20.56717063443836 
S082294 03:34:36.970 -01:14:10.520 r 45 2023-05-05T05:29:48 20.56717063443836 
S080114 03:38:52.350 -02:43:11.170 r 45 2023-05-05T05:31:03 20.56717063443836 
S075038 03:41:46.130 -06:10:52.670 r 45 2023-05-05T05:31:03 20.56717063443836 
S080839 03:34:54.650 -02:13:30.950 r 45 2023-05-05T05:32:33 20.56717063443836 
S081569 03:40:33.020 -01:43:50.740 r 45 2023-05-05T05:33:48 20.56717063443836 
S080116 03:42:50.040 -02:43:11.170 r 45 2023-05-05T05:33:48 20.56717063443836 
S075030 03:25:51.430 -06:10:52.670 r 45 2023-05-05T05:35:18 20.56717063443836 
S072869 03:36:41.950 -07:39:53.320 r 45 2023-05-05T05:36:33 20.56717063443836 
S082299 03:44:30.370 -01:14:10.520 r 45 2023-05-05T05:36:33 20.56717063443836 
S070713 03:45:18.830 -09:08:53.970 r 45 2023-05-05T05:39:18 20.56717063443836 
S075040 03:45:44.800 -06:10:52.670 r 45 2023-05-05T05:42:03 20.56717063443836 
S083755 03:44:30.370 -00:14:50.090 r 45 2023-05-05T05:44:48 20.56717063443836 
S072874 03:46:41.120 -07:39:53.320 r 45 2023-05-05T05:47:33 20.56717063443836 
S062916 04:47:23.190 -14:35:16.340 r 45 2023-05-05T05:49:33 20.56717063443836 
S086668 03:46:29.060 +01:43:50.770 r 45 2023-05-05T05:50:18 20.56717063443836 
S060811 04:45:19.320 -16:04:16.980 r 45 2023-05-05T05:52:18 20.56717063443836 
S083757 03:48:27.730 -00:14:50.090 r 45 2023-05-05T05:53:03 20.56717063443836 
S058033 04:52:22.220 -18:02:57.850 r 45 2023-05-05T05:55:03 20.56717063443836 
S083030 03:50:26.410 -00:44:30.310 r 45 2023-05-05T05:55:48 20.56717063443836 
S058725 04:51:31.670 -17:33:17.630 r 45 2023-05-05T05:57:48 20.56717063443836 
S094651 03:50:21.620 +07:10:13.140 r 45 2023-05-05T05:58:33 20.56717063443836 
S080115 03:40:51.190 -02:43:11.170 r 45 2023-05-05T06:01:18 20.56717063443836 
S057343 04:53:13.060 -18:32:38.060 r 45 2023-05-05T06:28:03 20.56717063443836 
S058034 04:54:27.070 -18:02:57.850 r 45 2023-05-05T06:33:33 20.56717063443836 
S056655 04:54:04.210 -19:02:18.280 r 45 2023-05-05T06:36:18 20.56717063443836 
S055285 04:55:47.400 -20:01:38.710 r 45 2023-05-05T06:44:33 20.56717063443836 
S065751 05:03:12.680 -12:36:35.480 r 45 2023-05-05T06:44:33 20.56717063443836 
S056656 04:56:09.790 -19:02:18.280 r 45 2023-05-05T06:47:18 20.56717063443836 
S069317 05:04:16.110 -10:08:14.400 r 45 2023-05-05T06:47:18 20.56717063443836 
S058036 04:58:36.780 -18:02:57.850 r 45 2023-05-05T06:47:48 20.56717063443836 
S054603 04:56:39.460 -20:31:18.920 r 45 2023-05-05T06:50:03 20.56717063443836 
S053927 05:04:19.790 -21:00:59.140 r 45 2023-05-05T06:50:03 20.56717063443836 
S063626 04:58:48.640 -14:05:36.120 r 45 2023-05-05T06:50:33 20.56717063443836 
S051899 05:00:37.500 -22:29:59.780 r 45 2023-05-05T06:50:33 20.56717063443836 
S061516 04:56:50.000 -15:34:36.770 r 45 2023-05-05T06:52:48 20.56717063443836 
S057347 05:01:33.930 -18:32:38.060 r 45 2023-05-05T06:52:48 20.56717063443836 
S055287 05:00:00.030 -20:01:38.710 r 45 2023-05-05T06:53:18 20.56717063443836 
S055972 05:01:13.500 -19:31:58.490 r 45 2023-05-05T06:53:18 20.56717063443836 
S055286 04:57:53.720 -20:01:38.710 r 45 2023-05-05T06:55:33 20.56717063443836 
S056658 05:00:20.950 -19:02:18.280 r 45 2023-05-05T06:56:03 20.56717063443836 
S061518 05:00:56.510 -15:34:36.770 r 45 2023-05-05T06:56:03 20.56717063443836 
S054607 05:05:06.200 -20:31:18.920 r 45 2023-05-05T06:56:03 20.56717063443836 
S058728 04:57:45.160 -17:33:17.630 r 45 2023-05-05T06:58:18 20.56717063443836 
S051898 04:58:29.120 -22:29:59.780 r 45 2023-05-05T06:58:48 20.56717063443836 
S052573 05:01:52.030 -22:00:19.570 r 45 2023-05-05T06:58:48 20.56717063443836 
S055974 05:05:25.390 -19:31:58.490 r 45 2023-05-05T06:58:48 20.56717063443836 
S064338 05:10:36.490 -13:35:55.910 r 45 2023-05-05T07:00:18 20.56717063443836 
S054602 04:54:32.770 -20:31:18.920 r 45 2023-05-05T07:01:03 20.56717063443836 
S058037 05:00:41.640 -18:02:57.850 r 45 2023-05-05T07:01:33 20.56717063443836 
S059426 05:05:10.380 -17:03:37.410 r 45 2023-05-05T07:01:33 20.56717063443836 
S065753 05:07:16.060 -12:36:35.480 r 45 2023-05-05T07:03:03 20.56717063443836 
S063632 05:11:02.910 -14:05:36.120 r 45 2023-05-05T07:03:03 20.56717063443836 
S062925 05:05:47.730 -14:35:16.340 r 45 2023-05-05T07:04:18 20.56717063443836 
S062926 05:07:50.460 -14:35:16.340 r 45 2023-05-05T07:05:48 20.56717063443836 
S072195 05:10:34.170 -08:09:33.540 r 45 2023-05-05T07:05:48 20.56717063443836 
S057352 05:12:00.020 -18:32:38.060 r 45 2023-05-05T07:05:48 20.56717063443836 
S055290 05:06:18.980 -20:01:38.710 r 45 2023-05-05T07:07:03 20.56717063443836 
S055291 05:08:25.300 -20:01:38.710 r 45 2023-05-05T07:08:33 20.56717063443836 
S060125 05:10:29.270 -16:33:57.200 r 45 2023-05-05T07:08:33 20.56717063443836 
S059429 05:11:22.790 -17:03:37.410 r 45 2023-05-05T07:08:33 20.56717063443836 
S060824 05:12:06.180 -16:04:16.980 r 45 2023-05-05T07:08:33 20.56717063443836 
S069318 05:06:16.620 -10:08:14.400 r 45 2023-05-05T07:09:48 20.56717063443836 
S065044 05:07:42.090 -13:06:15.690 r 45 2023-05-05T07:11:18 20.56717063443836 
S058042 05:11:05.920 -18:02:57.850 r 45 2023-05-05T07:11:18 20.56717063443836 
S062928 05:11:55.910 -14:35:16.340 r 45 2023-05-05T07:11:18 20.56717063443836 
S061526 05:17:22.530 -15:34:36.770 r 45 2023-05-05T07:11:18 20.56717063443836 
S056660 05:04:32.110 -19:02:18.280 r 45 2023-05-05T07:12:33 20.56717063443836 
S058041 05:09:01.060 -18:02:57.850 r 45 2023-05-05T07:14:03 20.56717063443836 
S071476 05:13:00.040 -08:39:13.750 r 45 2023-05-05T07:14:03 20.56717063443836 
S062226 05:14:25.470 -15:04:56.550 r 45 2023-05-05T07:14:03 20.56717063443836 
S065758 05:17:24.510 -12:36:35.480 r 45 2023-05-05T07:14:03 20.56717063443836 
S083070 05:09:33.660 -00:44:30.310 r 45 2023-05-05T07:16:48 20.56717063443836 
S065046 05:11:45.810 -13:06:15.690 r 45 2023-05-05T07:16:48 20.56717063443836 
S072918 05:14:33.790 -07:39:53.320 r 45 2023-05-05T07:16:48 20.56717063443836 
S067894 05:17:38.840 -11:07:34.830 r 45 2023-05-05T07:16:48 20.56717063443836 
S091795 05:08:51.340 +05:11:32.280 r 45 2023-05-05T07:19:33 20.56717063443836 
S083801 05:15:29.700 -00:14:50.090 r 45 2023-05-05T07:19:33 20.56717063443836 
S060826 05:16:13.390 -16:04:16.980 r 45 2023-05-05T07:19:33 20.56717063443836 
S075086 05:17:14.290 -06:10:52.670 r 45 2023-05-05T07:19:33 20.56717063443836 
S060123 05:06:21.700 -16:33:57.200 r 45 2023-05-05T07:22:18 20.56717063443836 
S065045 05:09:43.950 -13:06:15.690 r 45 2023-05-05T07:22:18 20.56717063443836 
S093247 05:15:14.960 +06:10:52.710 r 45 2023-05-05T07:22:18 20.56717063443836 
S062930 05:16:01.370 -14:35:16.340 r 45 2023-05-05T07:22:18 20.56717063443836 
S064342 05:18:45.320 -13:35:55.910 r 45 2023-05-05T07:22:18 20.56717063443836 
S062929 05:13:58.640 -14:35:16.340 r 45 2023-05-05T07:25:03 20.56717063443836 
S093971 05:15:41.100 +06:40:32.930 r 45 2023-05-05T07:25:03 20.56717063443836 
S093972 05:17:40.610 +06:40:32.930 r 45 2023-05-05T07:25:03 20.56717063443836 
S092525 05:19:13.600 +05:41:12.500 r 45 2023-05-05T07:27:48 20.56717063443836 
S061527 05:19:25.780 -15:34:36.770 r 45 2023-05-05T07:30:33 20.56717063443836 
S067895 05:19:39.850 -11:07:34.830 r 45 2023-05-05T07:33:18 20.56717063443836 
S069327 05:24:21.130 -10:08:14.400 r 45 2023-05-05T07:33:18 20.56717063443836 
S074364 05:19:40.110 -06:40:32.890 r 45 2023-05-05T07:36:03 20.56717063443836 
S071482 05:25:00.040 -08:39:13.750 r 45 2023-05-05T07:36:03 20.56717063443836 
S093249 05:19:13.630 +06:10:52.710 r 45 2023-05-05T07:38:48 20.56717063443836 
S068612 05:25:15.530 -10:37:54.610 r 45 2023-05-05T07:38:48 20.56717063443836 
S069325 05:20:20.130 -10:08:14.400 r 45 2023-05-05T07:41:33 20.56717063443836 
S065052 05:23:56.980 -13:06:15.690 r 45 2023-05-05T07:41:33 20.56717063443836 
S067898 05:25:42.870 -11:07:34.830 r 45 2023-05-05T07:41:33 20.56717063443836 
S072921 05:20:33.290 -07:39:53.320 r 45 2023-05-05T07:44:18 20.56717063443836 
S070044 05:23:54.020 -09:38:34.180 r 45 2023-05-05T07:44:18 20.56717063443836 
S072203 05:26:32.830 -08:09:33.540 r 45 2023-05-05T07:44:18 20.56717063443836 
S066476 05:32:41.840 -12:06:55.260 r 45 2023-05-05T07:44:18 20.56717063443836 
S093973 05:19:40.110 +06:40:32.930 r 45 2023-05-05T07:47:03 20.56717063443836 
S066473 05:26:37.790 -12:06:55.260 r 45 2023-05-05T07:47:03 20.56717063443836 
S069332 05:34:23.640 -10:08:14.400 r 45 2023-05-05T07:47:03 20.56717063443836 
S093248 05:17:14.290 +06:10:52.710 r 45 2023-05-05T07:49:48 20.56717063443836 
S075088 05:21:12.970 -06:10:52.670 r 45 2023-05-05T07:49:48 20.56717063443836 
S062232 05:26:42.880 -15:04:56.550 r 45 2023-05-05T07:49:48 20.56717063443836 
S081627 05:35:16.520 -01:43:50.740 r 45 2023-05-05T07:49:48 20.56717063443836 
S061528 05:21:29.030 -15:34:36.770 r 45 2023-05-05T07:52:33 20.56717063443836 
S075090 05:25:11.640 -06:10:52.670 r 45 2023-05-05T07:52:33 20.56717063443836 
S086723 05:35:16.520 +01:43:50.770 r 45 2023-05-05T07:52:33 20.56717063443836 
S092526 05:21:12.940 +05:41:12.500 r 45 2023-05-05T07:55:18 20.56717063443836 
S075091 05:27:10.980 -06:10:52.670 r 45 2023-05-05T07:55:18 20.56717063443836 
S085993 05:31:19.160 +01:14:10.560 r 45 2023-05-05T07:55:18 20.56717063443836 
S059434 05:21:43.480 -17:03:37.410 r 45 2023-05-05T07:58:03 20.56717063443836 
S063640 05:27:21.950 -14:05:36.120 r 45 2023-05-05T07:58:03 20.56717063443836 
S069326 05:22:20.630 -10:08:14.400 r 45 2023-05-05T08:00:48 20.56717063443836 
S066474 05:28:39.140 -12:06:55.260 r 45 2023-05-05T08:00:48 20.56717063443836 
S072201 05:22:33.170 -08:09:33.540 r 45 2023-05-05T08:03:33 20.56717063443836 
S076540 05:28:43.060 -05:11:32.240 r 45 2023-05-05T08:03:33 20.56717063443836 
S060131 05:22:51.960 -16:33:57.200 r 45 2023-05-05T08:06:18 20.56717063443836 
S075092 05:29:10.310 -06:10:52.670 r 45 2023-05-05T08:06:18 20.56717063443836 
S093974 05:21:39.610 +06:40:32.930 r 45 2023-05-05T08:09:03 20.56717063443836 
S064348 05:30:58.560 -13:35:55.910 r 45 2023-05-05T08:09:03 20.56717063443836 
S068611 05:23:14.690 -10:37:54.610 r 45 2023-05-05T08:11:48 20.56717063443836 
S083079 05:27:21.790 -00:44:30.310 r 45 2023-05-05T08:11:48 20.56717063443836 
S083805 05:23:24.420 -00:14:50.090 r 45 2023-05-05T08:14:33 20.56717063443836 
S078714 05:24:17.860 -03:42:31.600 r 45 2023-05-05T08:14:33 20.56717063443836 
S070762 05:23:26.990 -09:08:53.970 r 45 2023-05-05T08:17:18 20.56717063443836 
S092527 05:23:12.270 +05:41:12.500 r 45 2023-05-05T08:20:03 20.56717063443836 
S060130 05:20:48.180 -16:33:57.200 r 45 2023-05-05T08:22:48 20.56717063443836 
S122617 12:53:15.060 +26:57:01.760 r 45 2023-05-05T10:14:18 20.56717063443836 
S123912 13:00:27.990 +27:56:22.190 r 45 2023-05-05T10:17:03 20.56717063443836 
